pattern,translation,tags,parents,output
*/VA/*+었/EP/*+냐는/ETM/*,was ~?
*/NN/*+하고/JKB/*,~ and/with
*/NN/*+이/VCP/*+요/EC/*,is ~
*/NN/*+이/VCP/*+었/EP/*+나요/EF/*,was ~?
*/NN/*+이/VCP/*+니/EF/*,is ~?
*/NP/*+이/VCP/*+니/EF/*,is ~?
*/NN/*+이/VCP/*+냐/EC/*,is ~?
*/NN/*+이/VCP/*+기/ETN/*+로/JKB/*,toward/using being a ~
*/NN/*+이/VCP/*+ㄴ가/EF/*,is a ~?
*/NN/*+로/JKB/*+나/JC/*,"toward/using a ~, or"
*/NN/*+이/VCP/*+었/EP/*+다가/EC/*,"while was a ~"
*/VV/*+었/EP/*+다가/EC/*,while was ~ing
*/VV/*+었/EP/*+네/EF/*,~ed!
*/VV/*+었/EP/*+구나/EF/*,I realize that ~ed!
*/VA/*+었/EP/*+구나/EF/*,I realize that was ~!
*/VV/*+겠/EP/*+구나/EF/*,I realize that (guessing; will) ~!
*/VV/*+었었/EP/*+구나/EF/*,I realize that ~ed (long ago)!
*/VA/*+겠/EP/*+나/EF/*,(guessing; will) be ~?
*/NN/*+이/VCP/*+었/EP/*+구나/EF/*,I realize that was ~!
*/VA/*+구나/EF/*,I realize that ~!
*/VV/*+구나/EF/*,I realize that ~!
*/VV/*+는구나/EF/*,I realize that ~!
*/NN/*+이/VCP/*+구나/EF/*,I realize that is ~!
*/NN/*+이/VCP/*+구나/EC/*,I realize that is ~!
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+어요/EF/*,will have to ~; guessing will have to ~
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+어/EC/*,will have to ~; guessing will have to ~
*/VV/*+어야/EC/*+하/VV/*+겠/EP/*+어/EF/*,will have to ~; guessing will have to ~
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+어/EF/*,will have to ~; guessing will have to ~
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+다/EF/*,will have to ~; guessing will have to ~
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+다/EC/*,will have to ~; guessing will have to ~
*/VV/*+었/EP/*+니까/EC/*,"~ed (as you know), so...; ~ed, so do..."
*/VV/*+도록/EC/*,"in order to ~, do..."
*/VV/*+는군요/EF/*,I realize that ~!
*/VV/*+는가/EC/*,~?
*/VV/*+겠/EP/*+다/EC/*,will ~; guessing that ~
*/VV/*+거든요/EF/*,because ~ (just so you know)
*/VV/*+ㅕ서/EC/*,"~, so..."
*/VV/*+ㅕㅆ/EP/*+습니다/EF/*,~ed
*/VV/*+ㅕㅆ/EP/*+습니까/EF/*,~ed?
*/VV/*+ㅕㅆ/EP/*+나요/EF/*,~ed?
*/VV/*+었었/EP/*+어/EF/*,~ed (long ago)
*/VV/*+었었/EP/*+나요/EF/*,~ed (long ago)?
*/VV/*+ㄹ까/EF/*,shall ~?
*/VCN/*+었/EP/*+며/EC/*,while wasn't
*/VCN/*+었/EP/*+어요/EF/*,wasn't
*/VCN/*+었/EP/*+습니까/EF/*,wasn't?
*/VCN/*+야/EF/*,isn't
*/VCN/*+면/EC/*,if not
*/VV/*+죠/EF/*,"~, right?"
*/VA/*+죠/EF/*,"~, right?"
*/VA/*+었/EP/*+는지/EC/*,[indirect question] if was ~
*/VA/*+었/EP/*+고/EC/*,"was ~, and..."
*/VA/*+서/EC/*,"~, so..."
*/VA/*+던/ETM/*,used to be ~
*/VA/*+는가/EF/*,~?
*/VA/*+ㄴ가/EF/*,~?
*/VA/*+ㄴ가/EC/*,~?
*/VA/*+네/EF/*,is ~!
*/VA/*+네/EC/*,is ~!
*/VA/*+기/ETN/*+로/JKB/*,toward/using being ~
*/VA/*+겠/EP/*+는가/EF/*,will be ~?; guessing that ~?
*/VA/*+거든요/EF/*,because ~ (just so you know)
*/VA/*+ㅕㅆ/EP/*+어/EF/*,was ~
*/NP/*+이/VCP/*+ㄴ가요/EF/*,is ~?
*/NP/*+이/VCP/*+ㄴ가/EF/*,is ~?
*/NP/*+만/JX/*,~ only
*/NN/*+이/VCP/*+잖/UNA/*+어요/EF/*,is a ~ (as you know)
*/NN/*+이/VCP/*+었/EP/*+는데/EC/*,"was a ~, but..."
*/NN/*+었/EP/*+는데/EC/*,"was a ~, but...",sic
*/NN/*+이/VCP/*+었/EP/*+고/EC/*,"was a ~, and"
*/NN/*+이/VCP/*+었/EP/*+어/EC/*,was a ~
*/NN/*+이/VCP/*+어요/EF/*,is a ~
*/NP/*+이/VCP/*+며/EC/*,while is a ~
*/NN/*+이/VCP/*+며/EC/*,while is a ~
*/NN/*+이/VCP/*+니까/EC/*,"is a ~ (as you know), so...; is a ~, so do..."
*/NN/*+이/VCP/*+었/EP/*+니까/EC/*,"was a ~ (as you know), so...; was a ~, so do..."
*/NN/*+이/VCP/*+군요/EF/*,I realize that is ~!
*/NN/*+이/VCP/*+군/EF/*,I realize that is ~!
*/NN/*+에/JKB/*+요/EF/*,"at/to ~; ~ \[sic: -예요]"
*/NP/*+에/JKB/*+요/EF/*,"at/to ~; ~ \[sic: -예요]"
*/NN/*+밖에/JX/*,besides ~
*/NP/*+밖에/JX/*,besides ~
*/NN/*+에게서/JKB/*,from ~
*/NP/*+에게서/JKB/*,from ~
*/NN/*+한테서/JKB/*,from ~
*/NP/*+한테서/JKB/*,from ~
*/NN/*+에게/JKB/*+로/JKB/*,to ~
*/NP/*+에게/JKB/*+로/JKB/*,to ~
*/NN/*+한테/JKB/*+로/JKB/*,to ~
*/NP/*+한테/JKB/*+로/JKB/*,to ~
*/VV/*+었/EP/*+어/EC/*,~ed
*/NP/*+이/VCP/*+야/EF/*,is ~
*/VV/*+네요/EF/*,~!
*/VV/*+네요/EC/*,~!
*/VV/*+네/EF/*,~!
*/NR/*+뿐/JX/*+이/VCP/*+ㄴ/ETM/*,only ~
*/NN/*+이나/JX/*,~ or
*/VA/*+는지/EC/*,[indirect question] if ~?
*/VA/*+겠/EP/*+는지/EC/*,[indirect question] if will be ~
*/VA/*+었/EP/*+다고/EC/*,said that was ~
*/VA/*+겠/EP/*+다고/EC/*,said that will be ~; said that guessing is ~
*/VV/*+겠/EP/*+답니다/EF/*,said that (will be; guessing) ~
*/VA/*+도록/EC/*,"in order to ~, do..."
*/VA/*+니까/EC/*,"~ (as you know), so ...; ~, so do..."
*/VV/*+을까/EF/*,shall we ~?
*/NN/*+뿐/JX/*+이/VCP/*+었/EP/*+다/EF/*,was only ~
*/NN/*+이/VCP/*+래요/EF/*,I heard that is ~
*/NN/*+이/VCP/*+었/EP/*+대요/EF/*,I heard that was ~
*/VV/*+는대요/EF/*,I heard that ~
*/VV/*+는대요/EC/*,I heard that ~
*/VV/*+ㄴ/ETM/*+대요/NNG/*,I heard that ~
*/VV/*+ㄴ대요/EF/*,I heard that ~
*/VA/*+대요/EF/*,I heard that ~
*/VA/*+었/EP/*+대요/EF/*,I heard that was ~
*/VA/*+었/EP/*+는데요/EF/*,I heard that was ~
*/VA/*+겠/EP/*+어요/EF/*,will be ~; guessing that is ~
*/VA/*+겠/EP/*+어/EF/*,will be ~; guessing that is ~
*/NN/*+이/VCP/*+야/EC/*,must be ~
*/NP/*+이/VCP/*+었/EP/*+어요/EF/*,was ~
*/VV/*+ㄴ/ETM/*+지/NNB/*,[indirect question] if ~ed?
*/VV/*+었/EP/*+대요/EF/*,I heard that ~ed
*/VV/*+래요/EF/*,I was told to ~
*/VV/*+래요/EC/*,I was told to ~
*/VA/*+겠/EP/*+죠/EF/*,"(guessing; will be) ~, right?"
*/VA/*+겠/EP/*+지/EF/*,"(guessing; will be) ~, right?"
*/NN/*+이/VCP/*+ㄹ까/EF/*,shall we be ~?; wondering if is ~?
*/NP/*+이/VCP/*+ㄹ까/EC/*,shall we be ~?; wondering if is ~?
*/NP/*+이/VCP/*+ㄹ까/EF/*,shall we be ~?; wondering if is ~?
*/NN/*+이/VCP/*+ㄹ까/EC/*,shall we be ~?; wondering if is ~?
*/NP/*+한테/JKB/*,to ~
*/NN/*+이/VCP/*+냐고/EC/*,"[indirect question] if is ~? ([ref](https://www.youtube.com/watch?v=j7dmqbz6wWQ&t=232s))"
*/NP/*+에/JKB/*+도/JX/*,at/to ~ also
*/VV/*+을게요/EC/*,will ~ (for someone)
*/VV/*+을/ETM/*+게/NNB/*,will ~ (for someone)
*/NP/*+이/VCP/*+ㄹ까요/EF/*,shall we be ~?; wondering if is ~?
*/VA/*+ㄹ까/EC/*,shall we be ~?; wondering if is ~?
*/VA/*+었/EP/*+을까/EF/*,would have been ~?; wondering if was ~?
*/NP/*+이/VCP/*+ㄹ/ETM/*,will be ~
*/NN/*+까지/JX/*+도/JX/*,to/until ~ also
*/VA/*+였/EP/*+다/EF/*,was ~
*/VA/*+다면/EC/*,(hypothetically) if ~
*/VA/*+었/EP/*+다면/EC/*,(hypothetically) if was ~
*/VV/*+다면/EC/*,(hypothetically) if ~
*/NN/*+이/VCP/*+오/EF/*,is ~,"poetic,semiformal"
*/VA/*+오/EF/*,~,"poetic,semiformal"
*/VV/*+오/EF/*,~,"poetic,semiformal"
*/VV/*+었/EP/*+오/EF/*,~ed,"poetic,semiformal"
*/VV/*+어서/EC/*+도/JX/*,"~ also, so..."
*/VV/*+자마자/EC/*,as soon as ~,,-자마자
*/VV/*+고/EC/*+만/JX/*,just/only ~ing (when followed by 있다)
*/NN/*+서/JKB/*,at/in/from ~
*/VA/*+었/EP/*+거든요/EF/*,because was ~ (just so you know)
*/VV/*+었/EP/*+거든/EF/*,because ~ed (just so you know)
*/VV/*+었/EP/*+거든요/EF/*,because ~ed (just so you know)
*/NN/*+이/VCP/*+거든요/EF/*,because is ~ (just so you know)
*/NN/*+이/VCP/*+거든/EF/*,because is ~ (just so you know)
*/NN/*+이/VCP/*+었/EP/*+기/ETN/*,having been a ~
*/VV/*+었/EP/*+ㄹ까요/EF/*,wonder if ~ed; would have ~?
*/NN/*+이/VCP/*+었/EP/*+ㄹ까요/EF/*,wonder if was ~; would have been ~?
*/NP/*+이/VCP/*+었/EP/*+ㄹ까요/EF/*,wonder if was ~; would have been ~?
*/VV/*+었/EP/*+을까/EF/*,wonder if ~ed; would have ~?
*/VV/*+었/EP/*+을까/EC/*,wonder if ~ed; would have ~?
*/NN/*+이/VCP/*+죠/EF/*,"is a ~, right?"
*/NN/*+이/VCP/*+지/EF/*,"is a ~, right?"
*/NP/*+이/VCP/*+지/EC/*,"is ~, right?"
*/VV/*+려는/ETM/*,that intend/plan to ~ ([kgf](https://kgf.korninterlinereader.asia.ubc.ca/entry/6285e98a0b20af306c90d0c9))
*/VV/*+잖아/EC/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VV/*+잖아/EF/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VA/*+잖아/EC/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VA/*+잖아/EF/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VV/*+잖아요/EC/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VV/*+잖아요/EF/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VA/*+잖아요/EC/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VA/*+잖아요/EF/*,"don't you see that ~; ~, you know!; ~, isn't it?"
*/VV/*+ㅕㅆ/EP/*+잖아요/EF/*,"don't you see that ~ed; ~ed, you know!; ~ed, wasn't it?"
*/VV/*+었/EP/*+잖아요/EF/*,"don't you see that ~ed; ~ed, you know!; ~ed, wasn't it?"
*/VA/*+었/EP/*+잖아요/EF/*,"don't you see that was ~; was ~, you know!; was ~, wasn't it?"
*/VV/*+었/EP/*+잖아요/EC/*,"don't you see that ~ed; ~ed, you know!; ~ed, wasn't it?"
*/VA/*+었/EP/*+잖아/EF/*,"don't you see that was ~; was ~, you know!; was ~, wasn't it?"
*/VV/*+었/EP/*+잖아/EF/*,"don't you see that ~ed; ~ed, you know!; ~ed, wasn't it?"
*/VA/*+었었/EP/*+잖아/EF/*,"don't you see that was ~ (long ago); was ~ (long ago), you know!; was ~, wasn't it?"
*/VV/*+었었/EP/*+잖아/EF/*,"don't you see that ~ed (long ago); ~ed (long ago), you know!; ~ed, wasn't it?"
*/VV/*+었/EP/*+지/EC/*+않/VX/*+어요/EF/*,"don't you see that ~ed; ~ed, you know!; ~ed, wasn't it?"
*/NN/*+이/VCP/*+잖/UNA/*+어/EF/*,"don't you see that is ~; is ~, you know!; is ~, isn't it?"
*/NN/*+이/VCP/*+지/EC/*+않/VX/*+어요/EF/*,"don't you see that is ~; is ~, you know!; is ~, isn't it?"
*/NP/*+이/VCP/*+지/EC/*+않/VX/*+어요/EF/*,"don't you see that is ~; is ~, you know!; is ~, isn't it?"
*/VV/*+자고/EC/*,[quoted proposal] let's ~
*/VV/*+ㄹ게/EF/*,will ~ (for someone)
*/VV/*+ㄹ게/EC/*,will ~ (for someone)
*/VV/*+ㄹ/ETM/*+게/NNB/*,will ~
*/VV/*+었/EP/*+군요/EF/*,I realize that ~ed
*/VV/*+었/EP/*+군요/EC/*,I realize that ~ed
*/VV/*+었/EP/*+군/EF/*,I realize that ~ed
*/VV/*+었/EP/*+군/EC/*,I realize that ~ed
*/VV/*+었/EP/*+는지/EC/*,[indirect question] ~ed?
*/VV/*+었/EP/*+는데/EC/*+도/JX/*,"~ed, but also...; even though ~ed"
*/VV/*+었/EP/*+는데도/EC/*,"even though ~ed, ..."
*/VV/*+는/ETM/*+데/NNB/*+도/JX/*,"even though ~; ~, but also..."
*/VV/*+는데도/EC/*,"even though ~; ~, but also..."
*/VV/*+ㄴ다고요/EF/*,Said that ~
*/VV/*+ㄴ다고/EC/*+요/EF/*,said that ~
*/VA/*+다고요/EC/*,said that ~,???
*/VA/*+다고요/EF/*,said that ~,???
*/NP/*+이/VCP/*+라고요/EF/*,Said that is ~
*/VV/*+었/EP/*+다고요/EF/*,Said that ~ed
*/VV/*+었/EP/*+다고/EF/*,Said that ~ed
*/VV/*+겠/EP/*+다고/EF/*,Said that (guessing; will) ~
*/VV/*+는다고/EF/*,Said that ~
*/VV/*+는다고요/EF/*,Said that ~
*/VA/*+은데요/EF/*,But ~
*/VA/*+은데요/EC/*,But ~
*/VA/*+은데/EC/*,"~, but..."
*/VA/*+는/ETM/*,~
*/NN/*+이/VCP/*+ㄹ지/EC/*,[indirect question] if will be ~?
*/NP/*+이/VCP/*+ㄹ지/EC/*,[indirect question] if will be ~?
*/VV/*+ㄹ지/EC/*,[indirect question] if will ~?
*/VV/*+ㄹ지/ETM/*,[indirect question] if will ~?
*/VV/*+ㄹ지/EF/*,[indirect question] if will ~?
*/VV/*+ㄹ/ETM/*+지도/NNG/*,even/also [indirect question] if will ~?
*/NP/*+랑/JKB/*,with ~
*/NP/*+이/VCP/*+냐/EC/*,asked is ~?
*/VV/*+ㄴ대/EF/*,I hear that ~
*/VV/*+을지/EC/*,[indirect question] if will ~?
*/VV/*+었/EP/*+을지/EC/*,[indirect question] if would ~?
*/VA/*+었/EP/*+을지/EC/*,[indirect question] if would have been ~?
*/VA/*+기/ETN/*+ㄹ/JKO/*,being ~
*/VV/*+였/EP/*+습니다/EF/*,~ed
*/VV/*+까요/EF/*,shall ~?
*/NR/*+하고/JC/*,~ with
*/NP/*+랑/JC/*,with ~
*/NN/*+이/VCP/*+랄까요/EF/*,shall be called ~?
*/NN/*+만/JX/*+로/JKB/*+도/JX/*,only toward/using ~
*/VV/*+었/EP/*+다면/EC/*,(hypothetically) if ~ed
*/NP/*+랑/JKB/*+도/JX/*,with ~ also
*/VV/*+을까/EC/*,shall ~?
*/VV/*+까/EC/*,shall ~?
*/VA/*+겠/EP/*+지만/EC/*,"will be ~, but...; guessing that ~, but..."
*/VV/*+었/EP/*+지/EF/*,I asked if ~ed
*/VV/*+었었/EP/*+지/EF/*,I asked if ~ed (long ago)
*/NN/*+이/VCP/*+랍니까/EF/*,is called ~?
*/VV/*+기/ETN/*+에/JKB/*,to ~ing
*/VV/*+기/ETN/*+에/JKB/*+도/JX/*,to ~ing also
*/VA/*+었/EP/*+기/ETN/*,having been ~
*/NP/*+로서/JKB/*,as ~
*/NP/*+로서/JKB/*+도/JX/*,also as ~; even as ~
*/NR/*+이/VCP/*+에요/EF/*,is ~
*/VV/*+는대/EF/*,I hear that ~
*/VV/*+곤/EC/*,"1. [V-곤 하다] habitually ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e1d6ed9a50ba002e20a44b))
2. ~, and then (as a consequence)... ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e1d6ed9a50ba002e20a449))"
*/VV/*+곤/EC/*+하/VX/*+습니다/EF/*,"[V-곤 하다] habitually ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e1d6ed9a50ba002e20a44b))"
*/NN/*+조차/JX/*,"even ~; not even ~",,-조차
*/VV/*+겠/EP/*+고요/EF/*,"guessing; will ~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+겠/EP/*+고요/EF/*,"guessing; will be ~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+었/EP/*+고요/EF/*,"~ed, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+었/EP/*+고/EC/*+요/EF/*,"~ed, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+었었/EP/*+고요/EF/*,"~ed (long ago), and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+었/EP/*+고요/EF/*,"was ~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+었었/EP/*+고요/EF/*,"was ~ (long ago), and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+은데/EF/*,"~ (providing background information, or expressing thought contrary to what was previously said [[ref](https://www.youtube.com/watch?v=6kVYxc0OdwU&t=5842s)])"
*/VV/*+어야/EC/*+하/VX/*+겠/EP/*+다고/EC/*,said that will have to ~; said that guessing have to ~
*/VV/*+고는/EC/*,"1. [V-고는 하다] habitually ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e1d6dd9a50ba002e20a3b7))
2. ~, and then (as a consequence)... ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e1d6dd9a50ba002e20a39b))"
*/VV/*+었/EP/*+더니/EC/*,"~ed, whereupon ... (showing contrast, observation [[ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cfa5)])"
*/VV/*+더니/EC/*,"~, whereupon ... (showing contrast, observation [[ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cfa5)])"
*/VV/*+ㄴ다더니/EC/*,said that ~,,-(ㄴ/는)다더니
*/VA/*+게/EC/*+도/JX/*,so that ~ also; ~ly also
*/VV/*+느라고/EC/*,"because ~; with the intention of ~; in order to ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce79))"
*/VV/*+느라/EC/*,"because ~; with the intention of ~; in order to ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce79))"
*/VA/*+을지/EC/*,"[indirect question] will/would be ~?",???
*/NP/*+에다/JKB/*,"(in addition to) at/to ~; at/to ~ (emphasizing a transfer of time/place) ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e98a0b20af306c90d26b))"
*/NN/*+에다/JKB/*,"(in addition to) at/to ~; at/to ~ (emphasizing a transfer of time/place) ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e98a0b20af306c90d26b))"
*/NN/*+이/VCP/*+곤/EC/*,"[N-이곤 했다] used to be ~"
*/VV/*+ㄹ지/EC/*+도/JX/*,[indirect question] if even will ~
*/VV/*+을지/EC/*+도/JX/*,[indirect question] if even will ~
*/VA/*+다는/ETM/*,"[[A-다는 N](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cf41)] N about which they say is ~ (abbreviation for A-다고 하는 N)"
*/VA/*+ㄴ다는/ETM/*,"[[A-다는 N](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cf41)] N about which they say is ~ (abbreviation for A-다고 하는 N)"
*/VV/*+ㄴ다는/ETM/*,"[V-ㄴ다는 N] N about which they say is ~ (abbreviation for V-ㄴ다고 하는 N; indirect quotation)
[V-ㄴ다는 것] the thing about ~ (comment about unusual/noteworthy topic V marked by 는 것)",reftbd
*/VV/*+었/EP/*+다는/ETM/*,"[V-다는 N] N about which they say ~ed (abbreviation for V-다고 하는 N; indirect quotation)
[V-다는 것] the thing about ~ed (comment about unusual/noteworthy topic V marked by 는 것)",reftbd
*/VA/*+었/EP/*+겠/EP/*+어요/EF/*,(guessing) must've been ~
*/VV/*+었/EP/*+겠/EP/*+지/EF/*,"(guessing) must've ~ed, right?"
*/NN/*+이/VCP/*+라면서/EC/*,"said that ""is ~""",???
*/VV/*+라면서요/EF/*,"commanded to ~?","command,???"
*/VV/*+ㅕㅆ/EP/*+더라고요/EF/*,"I (in the past) realized that (yet earlier) ~ed ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VV/*+었/EP/*+더라고요/EF/*,"I (in the past) realized that (yet earlier) ~ed ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VV/*+더라고요/EF/*,"I (in the past) realized that ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VV/*+더라고/EF/*,"I (in the past) realized that ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/NN/*+이/VCP/*+더라고요/EF/*,"I (in the past) realized that is ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VV/*+더라고요/EC/*,"I (in the past) realized that ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VA/*+더라고요/EC/*,"I (in the past) realized that is ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VA/*+더라고요/EF/*,"I (in the past) realized that is ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/NP/*+이/VCP/*+더라/EF/*,"I (in the past) realized that is ~",???
*/NN/*+이/VCP/*+더라/EF/*,"I (in the past) realized that is ~",???
*/VV/*+더라/EF/*,"I (in the past) realized that ~",???
*/VV/*+더라/EC/*,"I (in the past) realized that ~",???
*/VA/*+었/EP/*+더라/EF/*,"I (in the past) realized that (yet earlier) was ~",???
*/VV/*+었/EP/*+더라/EF/*,"I (in the past) realized that (yet earlier) ~ed",???
*/VV/*+겠/EP/*+더라고요/EF/*,"I (in the past) realized that could/would ~ ([ref](https://youtu.be/6kVYxc0OdwU?t=1034s))"
*/VA/*+던가요/EF/*,"I wonder if it had been the case that ~ ([ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/62e212f49af00c002e6ed6f3))
*/VV/*+라니/EC/*,"(suprised/impressed that) ~, so...",ref?
*/VV/*+서/EC/*+야/JX/*,"~ even, so...; ~ even, and then... ([ref](https://www.italki.com/en/post/question-365672))"
*/NN/*+이/VCP/*+었/EP/*+지만/EC/*,"was a ~, but..."
*/VV/*+었/EP/*+다/EC/*,~ed; while was ~ing
니라/EF/*,,,,느니라/EF/*
*/NN/*+이/VCP/*+느니라/EF/*,"It is the case that is ~; It is a fact that is ~ ([kgf](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce76), [koen](https://korean.dict.naver.com/koendict/#/entry/koen/812f896508b5475fb80e2410c85ef8c0))",archaic,-느니라
*/VA/*+느니라/EF/*,"It is the case that ~; It is a fact that ~ ([kgf](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce76), [koen](https://korean.dict.naver.com/koendict/#/entry/koen/812f896508b5475fb80e2410c85ef8c0))",archaic,-느니라
*/VV/*+느니라/EF/*,"It is the case that ~; It is a fact that ~ ([kgf](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce76), [koen](https://korean.dict.naver.com/koendict/#/entry/koen/812f896508b5475fb80e2410c85ef8c0))",archaic,-느니라
*/VV/*+었/EP/*+느니라/EF/*,"It is the case that ~ed; It is a fact that ~ed ([kgf](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90ce76), [koen](https://korean.dict.naver.com/koendict/#/entry/koen/812f896508b5475fb80e2410c85ef8c0))",archaic,-느니라
*/NN/*+이/VCP/*+시요/EF/*,is a ~,honorific
*/VA/*+면/EC/*,if/when ~
*/NN/*+랑/JKB/*,with ~
*/NN/*+이랑/JC/*,with ~
*/NN/*+이랑/JKB/*,with ~
*/NN/*+이/VCP/*+ㄹ까요/EF/*,I wonder if is ~
*/VA/*+ㄹ까요/EC/*,I wonder if ~
*/VA/*+을까/EF/*,I wonder if ~
*/VA/*+을까/EC/*,I wonder if ~
*/NN/*+이/VCP/*+면/EC/*,if/when is a ~
*/VV/*+고요/EF/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+고요/EC/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+고요/EF/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+고요/EC/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/NN/*+이/VCP/*+고요/EF/*,"is ~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/NN/*+이/VCP/*+었/EP/*+고요/EF/*,"was ~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VV/*+고/EC/*+요/EF/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/VA/*+고/EC/*+요/EF/*,"~, and... (sentence end, but thought not done [[ref](https://www.youtube.com/watch?v=ygFX0zqkt9M&t=983s)])"
*/NN/*+뿐/JX/*+만/JX/*,only ~
*/NP/*+뿐/JX/*+만/JX/*,only ~
*/VA/*+지/EF/*,"~?; ~, right?"
*/VA/*+었/EP/*+지/EF/*,"was ~?; was ~, right?"
*/NN/*+이/VCP/*+지/EC/*,"is ~?; is ~, right?"
*/NN/*+랑/JC/*,with ~
*/VA/*+ㄴ데/EC/*,"~, but..."
*/NN/*+로/JKB/*+요/EF/*,Toward/using ~.
*/VV/*+러요/EF/*,In order to ~.
*/VA/*+었/EP/*+답니다/EF/*,"said that was ~ (contraction of -다고 합니다; [ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cf8d))"
*/VV/*+었/EP/*+답니다/EF/*,"said that ~ed (contraction of -다고 합니다; [ref](http://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90cf8d))"
*/NN/*+이/VCP/*+라고/EF/*,said that is ~
*/NN/*+한테/JKB/*+도/JX/*,to ~ also
*/VV/*+요/EC/*,~
*/NN/*+에게/JKB/*+도/JX/*,to ~ also
*/NP/*+에게/JKB/*+도/JX/*,to ~ also
*/VV/*+었/EP/*+냐고/EF/*,"asked if ~ed? ([ref](https://www.youtube.com/watch?v=j7dmqbz6wWQ&t=232s))"
