pattern,translation,tags,parents,output
ㄹ로/JKB/*,,,,로/JKB/*
으로/JKB/*,,,,로/JKB/*
으로서/JKB/*,,,,로서/JKB/*
으로써/JKB/*,,,,로써/JKB/*
으로부터/JKB/*,,,,로부터/JKB/*
으므로/EC/*,,,,므로/EC/*
으러/EC/*,,,,러/EC/*
으라는/ETM/*,,,,라는/ETM/*
으라고/EC/*,,,,라고/EC/*
으라고/EF/*,,,,라고/EF/*
으려/EC/*,,,,려/EC/*
으려나/EF/,,,,려나/EF/*
으려나/EC/,,,,려나/EC/*
으려고/EC/*,,,,려고/EC/*
으려면/EC/*,,,,려면/EC/*
으려는/ETM/*,,,,려는/ETM/*
으렴/EF/*,,,,렴/EF/*
으렴/EC/*,,,,렴/EF/*
렴/EC/*,,,,렴/EF/*
이라든지/JC/*,,,,라든지/JC/*
라니/EC/*,,,,라니까/EC/*
니/EC/*,,,,니까/EC/*
으니/EC/*,,,,니까/EC/*
으니까/EC/*,,,,니까/EC/*
으나/EC/*,,,,나/EC/*
으시/EP/*,,,,시/EP/*
음/ETN/*,,,,ㅁ/ETN/*
수록/EC/*,,,,ㄹ수록/EC/*
을수록/EC/*,,,,ㄹ수록/EC/*
으냐고/EC/*,,,,냐고/EC/*
느냐고/EC/*,,,,냐고/EC/*
이여/JKV/*,,,,여/JKV/*
소/EF/*,,,,오/EF/*
지/EC/*+않/VX/*+아/EF/*,,,,잖아/EF/*
것/NNB/*+가/JKS/*,,,,게/NNB/*
어/EC/*+보/VX/*,,try
어/EC/*+주/VX/*,,favour,-주다
어/EC/*+드리/VX/*,,"favour,honorific",-드리다
어/EC/*+두/VX/*,,,-두다
어/EC/*+놓/VX/*,,,-놓다
어/EC/*+가지/VX/*,,,-가지다
어/EC/*+내/VX/*,,,-내다
스러워/VV/*,,,,스럽/XSA/*+어/EC/*
*/VA/*+어/EC/*+하/VX/*,,3p,-어하다,*/VA/*
*/VV/*+어/EC/*+하/VX/*,,3p,-어하다,*/VV/*
*/VA/*+어/EC/*+하/VV/*,,3p,-어하다,*/VA/*
*/VV/*+어/EC/*+하/VV/*,,3p,-어하다,*/VV/*
#*/VA/*+어/EC/*+지/VX/*,,,-지다,*/VV/*
#*/VV/*+어/EC/*+지/VX/*,,,-지다,*/VV/*
*/VV/*+어/EC/*+지/VX/*,,passive,,*/VV/*
*/VA/*+어/EC/*+지/VX/*,,become,,*/VV/*
*/VV/*+어/EC/*+버리/VX/*,,,-버리다,*/VV/*
